remark,"CSV-Import-Export"
remark,"Date = Wed Nov 10 15:17:32 2021"
remark,"Version = RSLogix 5000 v16.04"
remark,"Owner = Carlos Rodriguez"
remark,"Company = Personal"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,A5_2_2ZBC12,"","UDT_zzFLT","",""
TAG,,A5_2_2ZBC22,"","UDT_zzFLT","",""
TAG,,A5_2_3VC11_PMM,"","UDT_zzPMM","",""
TAG,,A5_2_4E01_1,"","UDT_zzFLT","",""
TAG,,A5_2_4E01_2,"","UDT_zzFLT","",""
TAG,,A5_2_4PIS01,"N2 Pressure BF5 Inj. Lances Cooling N2 Supply Press.","UDT_zzFLT","",""
COMMENT,,A5_2_4PIS01,"N2 Pressure BF5 Inj. Lances Cooling N2 Supply Press. - Unhealthy Fault Alarm",,"A5_2_4PIS01.SIGNAL_0_7.0"
TAG,,A5_2_4Tuyere_Size,"Laval Tuyere in Service Size","INT","","(RADIX := Decimal)"
TAG,,A5_2_4VBC011,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC021,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC031,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC041,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC051,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC061,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC071,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC081,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC091,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC101,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC111,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC121,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC131,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC141,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC151,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC161,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC171,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC181,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC191,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC201,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC211,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC221,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC231,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC241,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC251,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC261,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC271,"","UDT_zzVNC","",""
TAG,,A5_2_4VBC281,"","UDT_zzVNC","",""
TAG,,A5_2_4VBW012,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW022,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW032,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW042,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW052,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW062,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW072,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW082,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW092,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW102,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW112,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW122,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW132,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW142,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW152,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW162,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW172,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW182,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW192,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW202,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW212,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW222,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW232,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW242,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW252,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW262,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW272,"","UDT_zzVNO","",""
TAG,,A5_2_4VBW282,"","UDT_zzVNO","",""
TAG,,A5_2_4ZBC01,"","UDT_zzFLT","",""
TAG,,actDateTime,"","DINT[7]","","(RADIX := Decimal)"
TAG,,AI_A5_2HWS_F,"","UDT_zzAnaIN","",""
TAG,,AI_A5_2HWS_F_FLT,"","UDT_zzFLT","",""
TAG,,AI_A5_2HWS_F_LIMIT,"","UDT_zzLIMIT","",""
TAG,,AI_A5_2HWS_P1,"","UDT_zzAnaIN","",""
TAG,,AI_A5_2HWS_P1_FLT,"","UDT_zzFLT","",""
TAG,,AI_A5_2HWS_P2,"","UDT_zzAnaIN","",""
TAG,,AI_A5_2HWS_P2_FLT,"","UDT_zzFLT","",""
TAG,,AI_A5_2_2PT46,"pressure conveying line DN125","UDT_zzAnaIN","",""
TAG,,AI_A5_2_2PT46_FLT,"pressure conveying line DN125","UDT_zzFLT","",""
TAG,,AI_A5_2_2PT47,"pressure conveying line DN125","UDT_zzAnaIN","",""
TAG,,AI_A5_2_2PT47_FLT,"pressure conveying line DN125","UDT_zzFLT","",""
TAG,,AI_A5_2_2PT48,"pressure conveying line DN125","UDT_zzAnaIN","",""
TAG,,AI_A5_2_2PT48_FLT,"pressure conveying line DN125","UDT_zzFLT","",""
TAG,,AI_A5_2_2PT49,"pressure conveying line DN125","UDT_zzAnaIN","",""
TAG,,AI_A5_2_2PT49_FLT,"pressure conveying line DN125","UDT_zzFLT","",""
TAG,,AI_A5_2_2PT86,"pressure conveying line DN100","UDT_zzAnaIN","",""
TAG,,AI_A5_2_2PT86_FLT,"pressure conveying line DN100","UDT_zzFLT","",""
TAG,,AI_A5_2_2PT87,"pressure conveying line DN100","UDT_zzAnaIN","",""
TAG,,AI_A5_2_2PT87_FLT,"pressure conveying line DN100","UDT_zzFLT","",""
TAG,,AI_A5_2_2PT88,"pressure conveying line DN100","UDT_zzAnaIN","",""
TAG,,AI_A5_2_2PT88_FLT,"pressure conveying line DN100","UDT_zzFLT","",""
TAG,,AI_A5_2_2PT89,"pressure conveying line DN100","UDT_zzAnaIN","",""
TAG,,AI_A5_2_2PT89_FLT,"pressure conveying line DN100","UDT_zzFLT","",""
TAG,,AI_A5_2_3FT3,"N2 flow 3d dilution chamber raw signal from PDT measurement","UDT_zzAnaIN","",""
TAG,,AI_A5_2_3FT3_FLT,"N2 flow 3d dilution chamber raw signal from PDT measurement","UDT_zzFLT","",""
TAG,,AI_A5_2_3FT3_LIMIT,"","UDT_zzLIMIT","",""
TAG,,AI_A5_2_3PIT1,"pressure conveying line DN125","UDT_zzAnaIN","",""
TAG,,AI_A5_2_3PIT1_2Diff,"","REAL","","(RADIX := Float)"
TAG,,AI_A5_2_3PIT1_FLT,"pressure conveying line DN125","UDT_zzFLT","",""
TAG,,AI_A5_2_3PIT2,"pressure conveying line DN100","UDT_zzAnaIN","",""
TAG,,AI_A5_2_3PIT2_FLT,"pressure conveying line DN100","UDT_zzFLT","",""
TAG,,AI_A5_2_3PT3,"N2 pressure 3d dilution chamber","UDT_zzAnaIN","",""
TAG,,AI_A5_2_3PT3_FLT,"N2 pressure 3d dilution chamber","UDT_zzFLT","",""
TAG,,AI_A5_2_3PT3_LIMIT,"","UDT_zzLIMIT","",""
TAG,,AI_A5_2_3TT3,"N2 temperature 3d dilution chamber","UDT_zzAnaIN","",""
TAG,,AI_A5_2_3TT3_FLT,"N2 temperature 3d dilution chamber","UDT_zzFLT","",""
TAG,,AI_A5_2_3TT3_LIMIT,"","UDT_zzLIMIT","",""
TAG,,AI_A5_2_3VC11,"A5.2.3VC11 N2 Dilution Box 3 Valve","UDT_zzAnaIN","",""
COMMENT,,AI_A5_2_3VC11,"A5.2.3VC11 N2 Dilution Box 3 Valve - Position (0-100%)",,"AI_A5_2_3VC11.SCL"
TAG,,AI_A5_2_3VC11_FLT,"A5.2.3VC11 N2 Dilution Box 3 Valve Fault","UDT_zzFLT","",""
TAG,,AI_A5_2_4PT1,"Distributor Actuation Instrument Air Supply Pressure","UDT_zzAnaIN","",""
TAG,,AI_A5_2_4PT1_FLT,"Distributor Actuation Instrument Air Supply Pressure","UDT_zzFLT","",""
COMMENT,,AI_A5_2_4PT1_FLT,"Distributor Actuation Instrument Air Supply Pressure - Underrange Fault Active Latched Status",,"AI_A5_2_4PT1_FLT.FLTBYTE.0"
COMMENT,,AI_A5_2_4PT1_FLT,"Distributor Actuation Instrument Air Supply Pressure - Underrange Fault Alarm",,"AI_A5_2_4PT1_FLT.SIGNAL_0_7.0"
COMMENT,,AI_A5_2_4PT1_FLT,"Distributor Actuation Instrument Air Supply Pressure - Min Warning Alarm",,"AI_A5_2_4PT1_FLT.SIGNAL_0_7.3"
