remark,"CSV-Import-Export"
remark,"Date = Thu Sep 23 15:39:16 2021"
remark,"Version = RSLogix 5000 v13.04"
remark,"Owner = Rodney Howard"
remark,"Company = BIS Cleanaway Limited"
0.2
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER
TAG,"","R01:0:C","","AB:1794_IB16:C:0",""
ALIAS,"","R01:0:I","","","R01:I.Data[0]"
COMMENT,"","R01:0:I","=PLCPCIBF5_1$NPLC fuse O.K.",,"R01:0:I.0"
COMMENT,"","R01:0:I","=4_1_2SO61$NValve closed",,"R01:0:I.1"
COMMENT,"","R01:0:I","=4_1_2ZF61$NValve closed$N",,"R01:0:I.2"
COMMENT,"","R01:0:I","=4_1_2ZF61$NValve open$N",,"R01:0:I.3"
COMMENT,"","R01:0:I","=4_1_2VF5$NValve closed",,"R01:0:I.4"
COMMENT,"","R01:0:I","=4_1_2VF5$NValve open",,"R01:0:I.5"
COMMENT,"","R01:0:I","=5_1_0HS3$Nsafety positionning injection system BF5",,"R01:0:I.6"
COMMENT,"","R01:0:I","=5_1_1HS1$Nsafety positionning IH1",,"R01:0:I.7"
COMMENT,"","R01:0:I","=5_1_1HS2$Nsafety positionning IH1",,"R01:0:I.8"
COMMENT,"","R01:0:I","=5_1_1HS3$Nsafety positionning IH1",,"R01:0:I.9"
COMMENT,"","R01:0:I","=5_1_1WT4$Nalarming weight IH1",,"R01:0:I.10"
COMMENT,"","R01:0:I","=5_1_1LS1$Nlevel MAX IH1",,"R01:0:I.11"
COMMENT,"","R01:0:I","=5_1_1VB09$NValve closed",,"R01:0:I.12"
COMMENT,"","R01:0:I","=5_1_1VB09$NValve open",,"R01:0:I.13"
COMMENT,"","R01:0:I","=5_1_1VS13$NValve closed",,"R01:0:I.14"
COMMENT,"","R01:0:I","=5_1_1VS13$NValve open",,"R01:0:I.15"
TAG,"","R01:1:C","","AB:1794_IB16:C:0",""
ALIAS,"","R01:1:I","","","R01:I.Data[1]"
COMMENT,"","R01:1:I","=5_1_1VB01$NValve closed",,"R01:1:I.0"
COMMENT,"","R01:1:I","=5_1_1VB01$NValve open",,"R01:1:I.1"
COMMENT,"","R01:1:I","=5_1_1VBCM04$NValve closed",,"R01:1:I.2"
COMMENT,"","R01:1:I","=5_1_1VBCM04$NValve open",,"R01:1:I.3"
COMMENT,"","R01:1:I","=5_1_1ZS01$NValve closed",,"R01:1:I.4"
COMMENT,"","R01:1:I","=5_1_1ZS01$NValve open",,"R01:1:I.5"
COMMENT,"","R01:1:I","=5_1_1ZBC21$NValve closed",,"R01:1:I.6"
COMMENT,"","R01:1:I","=5_1_1ZBC21$NValve open",,"R01:1:I.7"
COMMENT,"","R01:1:I","=4_1_2VBW1$NValve closed",,"R01:1:I.8"
COMMENT,"","R01:1:I","=4_1_2VBW1$NValve open",,"R01:1:I.9"
COMMENT,"","R01:1:I","=4_1_2VBW2$NValve closed",,"R01:1:I.10"
COMMENT,"","R01:1:I","=4_1_2VBW2$NValve open",,"R01:1:I.11"
COMMENT,"","R01:1:I","=5_1_0VF3$NValve closed",,"R01:1:I.12"
COMMENT,"","R01:1:I","=5_1_0VF3$NValve open",,"R01:1:I.13"
COMMENT,"","R01:1:I","=5_1_0VF4$NValve closed",,"R01:1:I.14"
COMMENT,"","R01:1:I","=5_1_0VF4$NValve open",,"R01:1:I.15"
TAG,"","R01:2:C","","AB:1794_DO16:C:0",""
ALIAS,"","R01:2:O","","","R01:O.Data[2]"
TAG,"","R01:3:C","","AB:1794_IE8:C:0",""
TAG,"","R01:3:I","","AB:1794_IE8:I:1",""
COMMENT,"","R01:3:I","=5_1_0PT1$Npressure injection hopper N2 supply",,"R01:3:I.CH0DATA"
COMMENT,"","R01:3:I","=5_1_1PDT2$Nscalping device IH1",,"R01:3:I.CH1DATA"
COMMENT,"","R01:3:I","=5_1_1PIT1$Npressure IH1",,"R01:3:I.CH2DATA"
COMMENT,"","R01:3:I","=5_1_1VC02$Nactaul value",,"R01:3:I.CH3DATA"
COMMENT,"","R01:3:I","=5_1_1VC07$Nactaul value",,"R01:3:I.CH4DATA"
COMMENT,"","R01:3:I","=5_1_1VC11$Nactaul value",,"R01:3:I.CH5DATA"
COMMENT,"","R01:3:I","=5_1_1WT4$Nweight IH1",,"R01:3:I.CH6DATA"
COMMENT,"","R01:3:I","=5_1_1FT3$NFluidizing flow IH1 raw signal from PDT measurement",,"R01:3:I.CH7DATA"
COMMENT,"","R01:3:I","=5_1_0PT1$Npressure injection hopper N2 supply",,"R01:3:I.CH0UNDERRANGE"
COMMENT,"","R01:3:I","=5_1_1PDT2$Nscalping device IH1",,"R01:3:I.CH1UNDERRANGE"
