InputName,FeedbackTag,PLCAddress,ExtReferenceTag1,IncTag1,IncTag2,IncTag3,DecTag1,DecTag2,DecTag3,IncROC,DecROC,Integrating,AndORMode,FixedValue
A4_1_2DT1,A4_1_2DT1.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A4_1_2PDT1,A4_1_2PDT1.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_0PT1,A5_1_0PT1.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_0PT2,A5_1_0PT2.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_0PT3,A5_1_0PT3.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_0PT4,A5_1_0PT4.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_0TT1,A5_1_0TT1.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_0TT2,A5_1_0TT2.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_1FT3,A5_1_1FT3.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_1PDT2,A5_1_1PDT2.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_1PIT1,A5_1_1PIT1.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_1WT4,A5_1_1WT4.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_2FT3,A5_1_2FT3.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_2PDT2,A5_1_2PDT2.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_2PIT1,A5_1_2PIT1.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_2WT4,A5_1_2WT4.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_3FT3,A5_1_3FT3.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_3PDT2,A5_1_3PDT2.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_3PIT1,A5_1_3PIT1.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_3WT4,A5_1_3WT4.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
