InputName,FeedbackTag,PLCAddress,ExtReferenceTag1,ExtReferenceTag2,IncTag1,IncTag2,IncTag3,DecTag1,DecTag2,DecTag3,IncROC,DecROC,Integrating,AndORMode,FixedValue
A4_1_2DT1,A4_1_2DT1.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,9000
A4_1_2PDT1,A4_1_2PDT1.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,9000
A5_1_0PT1,A5_1_0PT1.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,25000
A5_1_0PT2,A5_1_0PT2.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,25000
A5_1_0PT3,A5_1_0PT3.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,25000
A5_1_0PT4,A5_1_0PT4.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,25000
A5_1_0TT1,A5_1_0TT1.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,15000
A5_1_0TT2,A5_1_0TT2.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,15000
A5_1_1FT3,A5_1_1FT3.Channel,10.20.20.201/3,A5_1_1VC07,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_1PDT2,A5_1_1PDT2.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,9000
A5_1_1PIT1,A5_1_1PIT1.Channel,10.20.20.201/3,0,0,A5_1_1VC02,I5_1_1VF08_LS1,I5_1_1VBCM05_LS1,A5_1_1VC11,I5_1_1VBCM04_LS1,I5_1_1VB09_LS1,150,150,1,1,0
A5_1_1WT4,A5_1_1WT4.Channel,10.20.20.201/3,0,0,I5_1_1VB01_LS1,I5_1_1VS13_LS1,0,I5_1_1VBCM06_LS1,0,0,500,25,1,0,8000
A5_1_2FT3,A5_1_2FT3.Channel,10.20.20.201/3,A5_1_2VC07,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_2PDT2,A5_1_2PDT2.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,9000
A5_1_2PIT1,A5_1_2PIT1.Channel,10.20.20.201/3,0,0,A5_1_2VC02,I5_1_2VF08_LS1,I5_1_2VBCM05_LS1,A5_1_2VC11,I5_1_2VBCM04_LS1,I5_1_2VB09_LS1,150,150,1,1,0
A5_1_2WT4,A5_1_2WT4.Channel,10.20.20.201/3,0,0,I5_1_2VB01_LS1,I5_1_2VS13_LS1,0,I5_1_2VBCM06_LS1,0,0,500,25,1,0,8000
A5_1_3FT3,A5_1_3FT3.Channel,10.20.20.201/3,A5_1_3VC07,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_3PDT2,A5_1_3PDT2.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,9000
A5_1_3PIT1,A5_1_3PIT1.Channel,10.20.20.201/3,0,0,A5_1_3VC02,I5_1_3VF08_LS1,I5_1_3VBCM05_LS1,A5_1_3VC11,I5_1_3VBCM04_LS1,I5_1_3VB09_LS1,150,150,1,1,0
A5_1_3WT4,A5_1_3WT4.Channel,10.20.20.201/3,0,0,I5_1_3VB01_LS1,I5_1_3VS13_LS1,0,I5_1_3VBCM06_LS1,0,0,500,25,1,0,8000
A5_2_1FT1,A5_2_1FT1.Channel,10.20.20.201/3,A5_2_1VCC11,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_1FT1_CON,A5_2_1FT1_CON.Channel,10.20.20.201/3,PD_FFL_SPVAR,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_1FT1_SPD,A5_2_1FT1_SPD.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_1FT3,A5_2_1FT3.Channel,10.20.20.201/3,A5_2_1VC31,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_1PIT1,A5_2_1PIT1.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,19000
A5_2_1PT3,A5_2_1PT3.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,25000
A5_2_1TT3,A5_2_1TT3.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,12000
A5_2_2FT3,A5_2_2FT3.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_2PT3,A5_2_2PT3.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,25000
A5_2_2PT41,A5_2_2PT41.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,17176
A5_2_2PT42,A5_2_2PT42.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,16816
A5_2_2PT43,A5_2_2PT43.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,16447
A5_2_2PT44,A5_2_2PT44.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,16107
A5_2_2PT45,A5_2_2PT45.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,15668
A5_2_2PT81,A5_2_2PT81.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,13411
A5_2_2PT82,A5_2_2PT82.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,13011
A5_2_2PT83,A5_2_2PT83.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,13171
A5_2_2PT84,A5_2_2PT84.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,13165
A5_2_2PT85,A5_2_2PT85.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,13131
A5_2_2TT3,A5_2_2TT3.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0,12000
A4_1_3DT1,A4_1_3DT1.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0,0
A4_1_3PDT1,A4_1_3PDT1.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0,20000
A6_1_0PT1,A6_1_0PT1.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0,25000
A6_1_0PT2,A6_1_0PT2.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0,25000
A6_1_0PT3,A6_1_0PT3.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0,25000
A6_1_0TT1,A6_1_0TT1.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0,15000
A6_1_0TT2,A6_1_0TT2.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0,15000
A6_1_1FT3,A6_1_1FT3.Channel,10.20.20.201/4,A6_1_1VC07,0,0,0,0,0,0,0,0,0,0,0,0
A6_1_1PDT2,A6_1_1PDT2.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0,9000
A6_1_1PIT1,A6_1_1PIT1.Channel,10.20.20.201/4,0,0,A6_1_1VC02,I6_1_1VF08_LS1,I6_1_1VBCM05_LS1,A6_1_1VC11,I6_1_1VBCM04_LS1,I6_1_1VB09_LS1,150,150,1,1,0
A6_1_1WT4,A6_1_1WT4.Channel,10.20.20.201/4,0,0,I6_1_1VB01_LS1,I6_1_1VS13_LS1,0,I6_1_1VBCM06_LS1,0,0,500,25,1,0,8000
A6_1_2FT3,A6_1_2FT3.Channel,10.20.20.201/4,A6_1_2VC07,0,0,0,0,0,0,0,0,0,0,0,0
A6_1_2PDT2,A6_1_2PDT2.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0,9000
A6_1_2PIT1,A6_1_2PIT1.Channel,10.20.20.201/4,0,0,A6_1_2VC02,I6_1_2VF08_LS1,I6_1_2VBCM05_LS1,A6_1_2VC11,I6_1_2VBCM04_LS1,I6_1_2VB09_LS1,150,150,1,1,0
A6_1_2WT4,A6_1_2WT4.Channel,10.20.20.201/4,0,0,I6_1_2VB01_LS1,I6_1_2VS13_LS1,0,I6_1_2VBCM06_LS1,0,0,500,25,1,0,8000
A6_1_3FT3,A6_1_3FT3.Channel,10.20.20.201/4,A6_1_3VC07,0,0,0,0,0,0,0,0,0,0,0,0
A6_1_3PDT2,A6_1_3PDT2.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0,9000
A6_1_3PIT1,A6_1_3PIT1.Channel,10.20.20.201/4,0,0,A6_1_3VC02,I6_1_3VF08_LS1,I6_1_3VBCM05_LS1,A6_1_3VC11,I6_1_3VBCM04_LS1,I6_1_3VB09_LS1,150,150,1,1,0
A6_1_3WT4,A6_1_3WT4.Channel,10.20.20.201/4,0,0,I6_1_3VB01_LS1,I6_1_3VS13_LS1,0,I6_1_3VBCM06_LS1,0,0,500,25,1,0,8000
A6_2_1FT1,A6_2_1FT1.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0,0
A6_2_1FT1_CON,A6_2_1FT1_CON.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0,0
A6_2_1FT1_SPD,A6_2_1FT1_SPD.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0,0
A6_2_1FT3,A6_2_1FT3.Channel,10.20.20.201/4,A6_2_1VC31,0,0,0,0,0,0,0,0,0,0,0,0
A6_2_1PIT1,A6_2_1PIT1.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0,19000
A6_2_1PT3,A6_2_1PT3.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0,25000
A6_2_1TT3,A6_2_1TT3.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0,12000
A6_2_2FT3,A6_2_2FT3.Channel,10.20.20.201/4,A6_2_2VC31,0,0,0,0,0,0,0,0,0,0,0,0
A6_2_2PT3,A6_2_2PT3.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0,9000
A6_2_2PT41,A6_2_2PT41.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0,9000
A6_2_2PT42,A6_2_2PT42.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0,9000
A6_2_2PT43,A6_2_2PT43.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0,9000
A6_2_2TT3,A6_2_2TT3.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0,12000
